ラベル	満足度	文章	会員ID
医療・福祉	1	迅速	1231234771
買物・飲食	1	便利です	1231234771
移動・交通	-1	便利	1231234771
遊び・娯楽	-1	普通	1231234771
移動・交通	1	鉄道路線が充実している。どこにいくにも便利。	1226930387
買物・飲食	1	店舗がたくさんある。	1226930387
自然の恵み	-1	自然が少ない。公園などが特に。	1226930387
医療・福祉	-1	子供の病院が少ない。遠い。	1226930387
自然景観	1	海も近く県立公園もあり、リラックスできるので。	1233151099
住宅環境	1	比較的に安くすめているとおもうので	1233151099
買物・飲食	-1	近くに歩いていけるショップがありません	1233151099
移動・交通	-1	駅とかまでは歩くには遠いので	1233151099
移動・交通	1	今居住している武蔵小杉はJR横須賀線、南武線、東急東横線、目黒線と選択の余地がたくさんあり、移動には非常に便利	1229140632
買物・飲食	1	スーパーマーケットもたくさんあり、選択の余地が広い	1229140632
遊び・娯楽	-1	かなり発展した街なのに映画館がない。ライブハウスがない。	1229140632
自然災害	-1	台風である地域が浸水した際、エレベーターが止まったりと都市ならではの被害があった。##近くを流れている多摩川の整備がもっと必要かと。	1229140632
自然災害	1	横須賀市は神奈川県の中でも温暖なエリアで、例えば隣の横浜市などが雪の為、交通障害を起きている時でも、ほとんど雪が積もる事はなく、生活に支障をきたす事はない。また、台風被害も少なく、洪水なども起こる事はない。	1224984627
住宅環境	1	横須賀は山がちな地形だが、自分のエリアは平坦地で電車の駅も近く、その周りには商業施設や病院、学校なども多くある。	1224984627
移動・交通	-1	山がちな地形なため、道路幅が狭いなど道路網が決定的に不足しているため、幹線道路は始終渋滞している。	1224984627
デジタル生活	-1	少し街中を離れると電波が届かない所が結構ある。	1224984627
医療・福祉	1	病院おおい	1231421276
買物・飲食	1	多い	1231421276
移動・交通	-1	便利	1231421276
遊び・娯楽	-1	検討	1231421276
買物・飲食	1	ある程度はあって不便はしてないから	1225128428
移動・交通	1	ある程度なら簡単に行けるから	1225128428
事故・犯罪	-1	田舎だと不審者がでる	1225128428
公共空間	-1	老朽化が目立つ	1225128428
自然災害	1	特に大きな災害がないから。	1234403352
自然景観	1	海も山もあるから。	1234403352
住宅環境	-1	URをたくさん増やして欲しい。	1234403352
買物・飲食	-1	近隣の他県のような安いスーパーを取り入れて欲しい。	1234403352
医療・福祉	1	家の目の前にクリニックがある	1230687146
買物・飲食	1	スーパーにすぐ行ける	1230687146
デジタル生活	-1	全体的にアナログすぎる	1230687146
自然災害	-1	地震対策が出来ている気がしない	1230687146
医療・福祉	1	家の目の前にクリニックがある	1229859734
買物・飲食	1	スーパーにすぐ行ける	1229859734
デジタル生活	-1	全体的にアナログすぎる	1229859734
自然災害	-1	地震対策が出来ている気がしない	1229859734
自然の恵み	1	自然が豊かであること。	1230495203
買物・飲食	1	お店がほどほどにあること。	1230495203
事故・犯罪	-1	犯罪を減らしてほしい。	1230495203
医療・福祉	-1	医療を充実させてほしい。	1230495203
移動・交通	1	バスの運行充実している	1232133785
買物・飲食	1	近くにショッピングモールがある	1232133785
デジタル生活	-1	デジタル化が遅い	1232133785
子育て	-1	他と比較し、サポートが小	1232133785
買物・飲食	1	スーパーやコンビニなどお店が多い	1232308502
移動・交通	1	駅やバス停が多い	1232308502
医療・福祉	-1	大きな病院が無い	1232308502
遊び・娯楽	-1	娯楽施設が少ない	1232308502
医療・福祉	1	中程度の病院があり、いろんなクリニックも歩いていける範囲で存在す。るから	1232788343
移動・交通	1	鉄道の駅やいろんな方面に行くバスもありバス停も近いから。	1232788343
自然災害	-1	地震や台風等で被害を受け時、避難場所が遠い事。	1232788343
事故・犯罪	-1	病院があるのに時々暴走族が大きい音でバイク運転をしている事。	1232788343
環境共生	1	公園が整備されている。	1233052076
事故・犯罪	1	よくわからないけど、たぶん、米軍基地があっても沖縄程問題がおこらないので	1233052076
デジタル生活	-1	なんとなく	1233052076
遊び・娯楽	-1	面白い観光地が少ない	1233052076
遊び・娯楽	1	娯楽	1235282115
住宅環境	1	家	1235282115
買物・飲食	-1	高い	1235282115
自然景観	-1	少ない	1235282115
買物・飲食	1	スーパーやコンビニや商店が多い	1234413759
移動・交通	1	駅やバス停が多い	1234413759
遊び・娯楽	-1	娯楽施設が少ない	1234413759
自然景観	-1	自然があまりない	1234413759
住宅環境	1	家賃やすい	1228197106
自然の恵み	1	自然多め	1228197106
遊び・娯楽	-1	遊び場少ない	1228197106
移動・交通	-1	移動不便	1228197106
自然災害	1	自然災害があまりないので。まわりでもあまりきかないので。	1233482802
移動・交通	1	電車やバスなどが充実しているので。	1233482802
子育て	-1	中学校の給食をはやくしてほしい。遅れすぎ。	1233482802
医療・福祉	-1	子供の医療費の無償化が他の自治体と比べ著しく遅れている。	1233482802
買物・飲食	1	スーパーやコンビニが多い	1234413976
移動・交通	1	駅やバス停が多い	1234413976
医療・福祉	-1	大きな病院がない	1234413976
遊び・娯楽	-1	娯楽施設が少ない	1234413976
住宅環境	1	青葉区ですが閑静な住宅街で子育てがしやすいです。今や子供は大きくなりましたが穏やかで引き続き住みたい場所です。	1233877106
自然災害	1	地震が来ても地盤が強いせいかあまり揺れなく安心です。	1233877106
移動・交通	-1	人手不足のせいかと思いますがバスの便が減って困っています	1233877106
初等・中等教育	-1	もう少し補助を充実いただけるとありがたいです。	1233877106
移動・交通	1	どこに行くのも公共交通機関で移動が出来るので、便利な所	1237042534
遊び・娯楽	1	市外へ出なくても買いたい物が見つかるし、映画館等も充実していると思います。	1237042534
医療・福祉	-1	子供の医療助成などは他の市や県等より、対象年齢が狭いので	1237042534
初等・中等教育	-1	都内等と比べると設備（エアコン等）はまだまだ遅れていると思います。	1237042534
移動・交通	1	都内に出やすい	1232471120
買物・飲食	1	遠くまでいかなくても済む	1232471120
住宅環境	-1	建物相場が高い	1232471120
事故・犯罪	-1	凶悪犯罪がたまに起きる	1232471120
住宅環境	1	住むにあたって、住宅問題が全く無いので住み易いから	1228652305
自然災害	1	自然災害が全く無いから	1228652305
地域行政	-1	役所内の各係がもっと住民に寄り添って親身に関わって欲しい	1228652305
移動・交通	-1	コミュニテーバスの1時間あたりの本数を増やし、利用料金を元との100円に戻して欲しい。##150円だと50円を用意するのが面倒だ。##もしくは、スマホ決算で乗れるようにしてほしい。	1228652305
買物・飲食	1	いろいろ興味を引く情報や施設が有ります。	1230489203
移動・交通	1	すぐに都心に行ける所です。	1230489203
医療・福祉	-1	近くに以外と総合病院がありません。	1230489203
環境共生	-1	まだ開拓途中の土地が多くあります。	1230489203
移動・交通	1	都心に１時間以内で行ける	1230833885
買物・飲食	1	物価が安い	1230833885
自然災害	-1	そこまでひどい被害にあったことが無い	1230833885
事故・犯罪	-1	最近増えてきているから何とか減らす方向に改善してほしい	1230833885
自然景観	1	桜並木があり、毎年楽しんでいる。	1232142728
住宅環境	1	比較的家賃が安い。	1232142728
事故・犯罪	-1	治安が悪化してきた	1232142728
買物・飲食	-1	良いスーパーマーケットがない	1232142728
住宅環境	1	良かった	1231421154
住宅環境	1	いい感じです	1231421154
子育て	-1	費用対効果	1231421154
移動・交通	-1	不便	1231421154
自然景観	1	自然しかないから	1229042491
医療・福祉	1	病院が多いから	1229042491
移動・交通	-1	移動が不便だから	1229042491
買物・飲食	-1	店が少ないから	1229042491
遊び・娯楽	1	ショッピング、イベントに行きやすい	1232143224
移動・交通	1	電車、バスが多い	1232143224
子育て	-1	手当が少ない	1232143224
住宅環境	-1	家が密集している	1232143224
自然景観	1	静かで自然豊かで景観が良い	1230813511
自然の恵み	1	水が綺麗なのでたべものが美味しく作れる	1230813511
医療・福祉	-1	病院が一つのしかなく、先生が一人しか常駐していない	1230813511
移動・交通	-1	駅がないのでバス会社のやりたい放題	1230813511
移動・交通	1	各方向に鉄道があること	1230478123
買物・飲食	1	いろいろあるため	1230478123
事故・犯罪	-1	無いことが良いため	1230478123
自然景観	-1	公園などが多いことが良いため	1230478123
移動・交通	1	家の前がバス停##電車も複数線利用できる	1231636791
買物・飲食	1	家の前にスーパーがある	1231636791
医療・福祉	-1	介護について不満が多い##役所も福祉施設、事務所も対応悪い	1231636791
事故・犯罪	-1	振り込め詐欺などが市内で一番多い	1231636791
遊び・娯楽	1	観光地だから	1232941456
移動・交通	1	鉄道が充実している	1232941456
医療・福祉	-1	整備されてないから	1232941456
地域行政	-1	まだまたま不十分だから	1232941456
医療・福祉	1	医療体制が充実している	1231497764
子育て	1	教育施設にアクセスしやすい	1231497764
買物・飲食	-1	物価が高い	1231497764
地域行政	-1	より良い生活を実現したい	1231497764
住宅環境	1	緑が多くて自然豊か。治安も良く住みやすい	1232807468
買物・飲食	1	飲食店やスーパーなど沢山ある。選択肢が多いから楽しみも増える。	1232807468
事故・犯罪	-1	裕福な家庭が多い為詐欺被害などが多発しているらしいから	1232807468
自然の恵み	-1	農協さんのお店がもっと行きやすかったら良いのにと思う	1232807468
移動・交通	1	家から至近距離に駅があり、どこに行くのにも便利だから。	1231392298
住宅環境	1	閑静な住宅街で安心して暮らせるから	1231392298
自然災害	-1	巨大地震の対策をしてほしい	1231392298
環境共生	-1	都市にも緑を増やしてほしい	1231392298
住宅環境	1	利便性が良い	1233233946
移動・交通	1	都心に近い	1233233946
子育て	-1	支援の拡充	1233233946
初等・中等教育	-1	支援の拡充	1233233946
移動・交通	1	都内へのアクセスがいい点	1232526056
買物・飲食	1	ショッピングモールなどが多い	1232526056
地域行政	-1	他地域と比べ、住民税が高いので、市民に割引やクーポンなど還元してほしい	1232526056
医療・福祉	-1	高齢者以外にも優遇してほしい	1232526056
移動・交通	1	2線使用できるので、交通災害があってもなんとかなる	1230523693
医療・福祉	1	病院が多い	1230523693
都市景観	-1	古い公共建物が多い	1230523693
自然の恵み	-1	公園スポーツ施設を作って欲しい	1230523693
移動・交通	1	横浜線最寄り駅前に住んでいて利便がかなり高いから	1235920805
買物・飲食	1	スーパーなどが充実した	1235920805
医療・福祉	-1	まったくだめ。政令都市やで	1235920805
遊び・娯楽	-1	遊ぶとこまったくなし	1235920805
移動・交通	1	駅までのバスが比較的多い	1236604450
買物・飲食	1	店が近くに多い	1236604450
住宅環境	-1	周りが騒がしい	1236604450
事故・犯罪	-1	不審者の取り締まり	1236604450
買物・飲食	1	お店が多い	1234413764
移動・交通	1	駅やバス停が多い	1234413764
遊び・娯楽	-1	娯楽施設が少ない	1234413764
医療・福祉	-1	大きな病院がない	1234413764
移動・交通	1	通勤に便利	1235779098
買物・飲食	1	買い物に便利	1235779098
地域行政	-1	区役所が遠い	1235779098
地域行政	-1	区役所が遠い	1235779098
遊び・娯楽	1	横浜駅と川崎駅には娯楽が多い	1233805645
移動・交通	1	JRや私鉄が多くある	1233805645
買物・飲食	-1	都市以外にも開発	1233805645
デジタル生活	-1	行政が悪い	1233805645
買物・飲食	1	家の近くにショッピングセンターなどが複数あるから	1230476512
移動・交通	1	電車やバスのネットワークが充実しているから	1230476512
自然災害	-1	土砂崩れなどの可能性がある場所の対策を強化してほしい	1230476512
デジタル生活	-1	フリーWiFiのエリアを広げ、電波を強くしてほしい。	1230476512
移動・交通	1	東横線・グリーンラインに加えて、新横浜線もできて、どの方面へも行きやすいから。	1230551168
買物・飲食	1	チェーン店のものはほとんどあり、定番のスーパーもそろっているから。	1230551168
医療・福祉	-1	人口のわりに少ないと思うから。	1230551168
自然災害	-1	避難場所を充実させてほしい。	1230551168
移動・交通	1	電車の本数や路線が多く、飛行場もそれなりに近い。	1233911862
医療・福祉	1	廻りに大小さまざまない医療機関多くある。	1233911862
地域行政	-1	何とか税が多すぎる。	1233911862
公共空間	-1	特にはないが、建物間の空間が狭すぎる。	1233911862
買物・飲食	1	公共交通機関を利用しなくても、日用品の買い物ができるお店が多い。	1228138677
医療・福祉	1	病院が多く、複数の診療科目を集めた医療ビルもあり、もしものときに安心感がある。	1228138677
移動・交通	-1	坂が多く、高齢者には移動がきつい。自転車の移動も向かない。	1228138677
住宅環境	-1	古い家屋が多く、また隣り合わせで建っているので、災害のときに倒壊しそうで怖い。	1228138677
買物・飲食	1	少し車やバスや電車に乗ればどこへでも行けますし買い物に困ることはありません。	1234806112
遊び・娯楽	1	バスや電車ですぐに行ける場所に遊ぶところが多すぎて困るくらいです。	1234806112
自然災害	-1	とにかく崖が多いです。土砂災害対策をしてほしいです。	1234806112
事故・犯罪	-1	犯罪が多い地域があります。安心して暮らせるように防犯に力を入れてほしいと思います。	1234806112
買物・飲食	1	車がなくても不便を感じない	1231580876
移動・交通	1	車がなくても不便を感じない	1231580876
事故・犯罪	-1	油断できない	1231580876
自然災害	-1	防災対策がいまいち我々に伝わらない	1231580876
買物・飲食	1	アクセスが良く、大型ショッピングモールがあり、新鮮な魚介や野菜・果物など魅力がたくさんある。	1230867283
自然景観	1	江の島、 湘南海岸、引地川、境川、 湧水など特徴ある自然環境があり、植 物の分布や動物の分布にも大きく関わっている。	1230867283
デジタル生活	-1	スマート藤沢として掲げるテクノロジーの活用が進むまちとしての評価が低い。	1230867283
住宅環境	-1	ひとり暮らしや低所得者層等の住宅確保要配慮者の賃貸住宅への円滑な入居の問題。	1230867283
買物・飲食	1	自宅から数百メートル圏内で生活に関する物が全て整う。	1235247036
移動・交通	1	最寄りの駅まではバス移動なのですが、バスの本数も多く、最寄りの駅もいくつもの線があり、何処へ出るのも非常に便利だから。	1235247036
事故・犯罪	-1	多国籍の人が集まる地域なので仕方無いとは思うのですが、犯罪が他の地域よりは多い	1235247036
自然災害	-1	最近大災害が多いので不安。改善が間に合わなそう。	1235247036
移動・交通	1	電車が豊富	1226465241
買物・飲食	1	お店が充実	1226465241
住宅環境	-1	家賃が高い	1226465241
遊び・娯楽	-1	混雑	1226465241
移動・交通	1	鉄道網があり、移動に便利	1230505027
子育て	1	地区センター	1230505027
買物・飲食	-1	スーパーが多い	1230505027
環境共生	-1	排気ガスで呼吸器疾患が多い	1230505027
遊び・娯楽	1	なんでもある。	1235642581
住宅環境	1	住みやすい	1235642581
地域行政	-1	地域情報紙の見出しで市長が有名人との会談ばかりしている。	1235642581
買物・飲食	-1	生活消費を推進する事をまたやってほしい。(レシ活でも何でも)	1235642581
移動・交通	1	交通網が充実してる	1234540761
買物・飲食	1	スーパーが多い	1234540761
子育て	-1	補助金を増やして欲しい	1234540761
事故・犯罪	-1	もう少しパトロールを増やして欲しい	1234540761
移動・交通	1	交通網が充実している	1231576726
買物・飲食	1	あらゆるジャンルの店舗が揃っている	1231576726
自然災害	-1	崖崩れ防止対策をもっと充実してほしい	1231576726
事故・犯罪	-1	街頭に防犯カメラをもっと設置してほしい	1231576726
移動・交通	1	公共バスのバス停が自宅の近くにある為。	1234280637
自然の恵み	1	自然が豊かな場所な為。	1234280637
買物・飲食	-1	最寄りの駅前に、入りたくなるような飲食店が少ない為。	1234280637
公共空間	-1	空き地がそのままになっている為、地域に役立つような施設を建設して頂きたいです。	1234280637
買物・飲食	1	どこに行くにも車は必須だが、どこに行ってもお店はたくさんあるので数時間のうちに必要なものが全て手に入れられる。	1236148518
移動・交通	1	横浜でも車社会で電車やバスより車移動のほうがスムーズだったりする。電車は数分に1本、バスは1時間に4本は来る地域で行きたい所に不便なく行けるのも魅力。	1236148518
事故・犯罪	-1	神奈川県警の不祥事が多い。	1236148518
地域行政	-1	なにをしているかわからないから地域行政がどんな改善や行動をしているかわかりやすいように発信してほしい	1236148518
事故・犯罪	1	静かな住宅街で治安がとても良い。	1229656274
初等・中等教育	1	小学校と中学校が側にあり、とても便利である。	1229656274
買物・飲食	-1	飲食店が閉店することが続いて外食がしづらくなったのでお店が増えて欲しい。	1229656274
移動・交通	-1	バスの便が減ってしまっているので、増やして欲しい。	1229656274
移動・交通	1	電車やバスが便利である	1228346254
買物・飲食	1	スーパー、大きなショッピングモールなどが多く買い物するのに便利である	1228346254
医療・福祉	-1	子供の医療の負担をもっとして欲しい	1228346254
事故・犯罪	-1	交番をもっと増やして欲しい	1228346254
買物・飲食	1	環境が良い	1230861773
移動・交通	1	環境が良い	1230861773
遊び・娯楽	-1	悪い	1230861773
子育て	-1	なし	1230861773
買物・飲食	1	買い物を出来る店舗が多い	1234841571
医療・福祉	1	遠くまで行かなくても病院が沢山あるので	1234841571
事故・犯罪	-1	ニュースでもよく犯罪や事故ニュースを取り上げられているので	1234841571
地域行政	-1	特に改善点はありませんが、一つは選択しなければならなかったので。	1234841571
移動・交通	1	公共交通機関が充実しており、どこにいても少し歩けば、バス停や駅に辿り着け、運行間隔も比較的短いので##	1233435387
買物・飲食	1	多くのショッピングセンター、商店や飲食店が、どこにでもあるので	1233435387
事故・犯罪	-1	夜道での不審者を防ぐため、街灯や防犯システムを充実して頂きたい	1233435387
地域行政	-1	土日や休日も開館、対応して頂きたい。その代わりに、特定の平日を休みにして頂いても結構。	1233435387
自然景観	1	歴史的	1233047665
自然の恵み	1	海と山がある	1233047665
医療・福祉	-1	障害者向けの政策	1233047665
子育て	-1	子供が喜ぶ施設	1233047665
自然景観	1	美しい自然がたくさんある	1231718048
自然の恵み	1	海や 畑に囲まれ 恵まれている	1231718048
移動・交通	-1	公共機関が少ない	1231718048
自然災害	-1	急斜面などが多いので改善して欲しい	1231718048
住宅環境	1	都市の環境と自然の環境が共存しており、都心ほどゴミゴミしていない。居住している人たちも常識的で、周囲に対して配慮ができる方が多い。	1231644080
移動・交通	1	鉄道やバスなど公共交通機関がそこそこ充実している。	1231644080
医療・福祉	-1	頼りになる医療機関が少ない。	1231644080
買物・飲食	-1	画一的なチェーン店ばかり増えて、特徴のある店舗が消えていってしまう。	1231644080
住宅環境	1	最寄りの駅が3駅あり、交通アクセスは抜群。住宅街たが、公園や緑も多く、住んでいる人の年代も様々で、育児サークルや地域のサークルも盛んなので活気がある。スーパーやコンビニもたくさんあって買い物には困らない。	1229308233
買物・飲食	1	スーパー、コンビニ、飲食店など##徒歩圏内に数店舗あり、便利。	1229308233
事故・犯罪	-1	比較的、犯罪などは少ないし、警察のパトロールも行っているので、安心はしているが、それでも犯罪は皆無ではないので、パトロールなどは今以上に強化して欲しい。	1229308233
環境共生	-1	人口密度の割には緑などは残ってる方なのかとは思うが、それでも近年、昔からある山がマンションになったり、畑が駐車場になったりと、だんだん自然はなくなってきている。その中でも緑を残す、作ることをやめないで欲しい。	1229308233
買物・飲食	1	近隣に多くのスーパーや飲食店がある	1234401757
移動・交通	1	小田急線、横浜線、バスなど交通の便が良い	1234401757
公共空間	-1	厚木飛行場が近隣にあるので飛行機の騒音を改善して欲しい	1234401757
子育て	-1	子育て支援の充実	1234401757
住宅環境	1	交通の路線、住むところ、商業地が区分けされており、静かで住みやすい	1231790100
買物・飲食	1	飲食店が多く遠くに行かなくてもよい	1231790100
医療・福祉	-1	比較的病院が多い	1231790100
事故・犯罪	-1	自転車盗難が多いので取り締まってほしい	1231790100
移動・交通	1	電車で都内に出やすい。	1234366884
自然景観	1	住宅街でもあるけれど少し歩いたりすると自然を感じられる。	1234366884
買物・飲食	-1	飲食店をもっと増やしてほしい。	1234366884
移動・交通	-1	今以上にもっと便利になると良い。	1234366884
住宅環境	1	落ち着いた雰囲気の住宅地。	1231145393
移動・交通	1	2駅利用でき駅までどちらも10分位。	1231145393
医療・福祉	-1	少し健康保険料が高いかんじなので。	1231145393
子育て	-1	中学校の給食の無料化をして欲しい。	1231145393
遊び・娯楽	1	飲み屋が多い	1233018487
公共空間	1	年が綺麗	1233018487
医療・福祉	-1	びょうおんこむ	1233018487
買物・飲食	-1	ならぶ	1233018487
移動・交通	1	湘南にも近く都心にもアクセスしやすい。	1231046565
住宅環境	1	自然	1231046565
医療・福祉	-1	病院	1231046565
公共空間	-1	騒音	1231046565
自然の恵み	1	公園や緑地が多く、水が良い。	1235407747
医療・福祉	1	病院は大小含めてかなりたくさんある。	1235407747
移動・交通	-1	相模原駅前の一方通行が多すぎる	1235407747
買物・飲食	-1	風俗店を減らす	1235407747
移動・交通	1	地下鉄、高速など充実している	1231709685
買物・飲食	1	近くに大規模なショッピングセンターがいくつもあり困らない	1231709685
都市景観	-1	清掃が行き届いていないところがある	1231709685
事故・犯罪	-1	夜中騒がしいところがある	1231709685
買物・飲食	1	不足なし	1234791748
環境共生	1	公園が多い	1234791748
事故・犯罪	-1	交番が少ない	1234791748
自然災害	-1	ハザードが点在する	1234791748
自然災害	1	地盤が硬いので地震に強い	1236118728
事故・犯罪	1	事故や犯罪にあったことがない	1236118728
買物・飲食	-1	スーパーが1件しかなく不便	1236118728
公共空間	-1	近くに図書館がない	1236118728
移動・交通	1	東京に近い	1232609386
事故・犯罪	1	安全で治安が良い	1232609386
子育て	-1	子育て支援が国の中で最低基準	1232609386
買物・飲食	-1	物価が高い	1232609386
自然の恵み	1	川や山が近くにあるけれど、不便なほど田舎ではないところ。	1225181578
買物・飲食	1	ひと通り必要なものは揃っているところ。	1225181578
デジタル生活	-1	もう少しwi-fiの環境を整備してほしい。	1225181578
地域行政	-1	ごみの集積所を増やしてほしい。	1225181578
事故・犯罪	1	私の居る周辺で全くおこらないから	1231778516
買物・飲食	1	住居の目の前にショッピングモールがあるから	1231778516
デジタル生活	-1	アナログなので、何でもデジタルになると本当に困る	1231778516
医療・福祉	-1	これから老人になるので近隣に必要な病院が配備されると助かる	1231778516
自然災害	1	高台なので浸水の心配がない。高低差があるので、雨水のはけがよい	1231128293
事故・犯罪	1	整然とした街並みで、夜は見知らぬ人が歩き回っていない。静かな環境であること。学校や病院が近くにあり一日を通して人通りが一定あること	1231128293
自然景観	-1	公園や緑が少ないので増やしてほしい	1231128293
医療・福祉	-1	人気のある病院だけは混んでいるような気がする。受診に時間がかからないようになればよいと思う。	1231128293
遊び・娯楽	1	病院がたくさんある	1236291121
買物・飲食	1	いっぱいある、選べる	1236291121
住宅環境	-1	物価が高い	1236291121
移動・交通	-1	高速高い、道路混む	1236291121
自然景観	1	海、山、丘陵、川などが近くにあり公害の無い自然が沢山ありながら、買い物、スーパーが多く病院医療も充実し道路環境もよく車移動もスムーズ、北西から南西にかけ山脈があり風や雪雲などをガードし温暖で自然災害もない。都市と田舎の良いとこ取りのレジャー施設も近くに多くあり正しく穴場です。	1234309632
都市景観	1	道路が広く渋滞がない。鉄道の駅を中心に住宅街が里山や海岸にきれいな形でひろがっている。	1234309632
移動・交通	-1	広い自治体なのでバスだけではなく路面電車が出来ると更に暮らしやすくなるだろう。##	1234309632
地域行政	-1	保守政治地域から変わってほしい。抜け出す為にまず自治会が男尊女卑の古い体質なので、新たな未来の為に無くなるか生まれ変わってほしい。	1234309632
自然災害	1	この地域に住んでから、洪水、崖崩れなどには遭遇していない。	1234432745
事故・犯罪	1	この地域に住んでから大きな犯罪の話は聞いていない。	1234432745
